Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Estonia,EST,"Natural capital per capita, protected areas (constant 2018 US$)",NW.NCA.PRAR.PC,234.23,283.15,353.55,372.23,405.32,365.99,531.31,644.74,899.31,1088.73,1031.37,1294.69,1314.64,1468.59,1570.97,1677.59,1876.75,1980.46,2223.02,2369.36,2243.59,2308.49,2035.39,2159.23
Estonia,EST,"Natural capital per capita, renewable (constant 2018 US$)",NW.NCA.RNEW.PC,11155.39,11539.78,12310.67,12701.57,13463.73,12366.70,12967.21,13154.34,13503.11,14106.18,13293.59,12884.76,12152.62,11890.32,11281.66,11490.33,12039.95,12510.64,13536.89,14323.49,14126.80,14340.69,13938.61,14174.12
Estonia,EST,"Natural capital, agricultural land (constant 2018 US$)",NW.NCA.AGRI.TO,7990000000.00,7630000000.00,7060000000.00,6250000000.00,5460000000.00,4760000000.00,4560000000.00,4360000000.00,4200000000.00,4400000000.00,4400000000.00,4490000000.00,4520000000.00,4710000000.00,4530000000.00,4590000000.00,4680000000.00,4610000000.00,4790000000.00,5010000000.00,4890000000.00,4880000000.00,4540000000.00,4510000000.00
Estonia,EST,"Natural capital, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.TO,3880000000.00,3660000000.00,3250000000.00,2890000000.00,2490000000.00,2050000000.00,1960000000.00,1940000000.00,1920000000.00,1940000000.00,1840000000.00,1950000000.00,1930000000.00,1970000000.00,1940000000.00,2070000000.00,2120000000.00,2050000000.00,2210000000.00,2280000000.00,2250000000.00,2420000000.00,2080000000.00,2150000000.00
Estonia,EST,"Natural capital, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.TO,4110000000.00,3960000000.00,3810000000.00,3360000000.00,2970000000.00,2710000000.00,2600000000.00,2420000000.00,2290000000.00,2460000000.00,2560000000.00,2540000000.00,2590000000.00,2740000000.00,2590000000.00,2510000000.00,2560000000.00,2550000000.00,2580000000.00,2730000000.00,2640000000.00,2460000000.00,2470000000.00,2370000000.00
Estonia,EST,"Natural capital, fisheries (constant 2018 US$)",NW.NCA.FISH.TO,145000000.00,155000000.00,109000000.00,159000000.00,1530000000.00,0.00,0.00,189000000.00,65708508.00,637000000.00,507000000.00,578000000.00,665000000.00,669000000.00,406000000.00,276000000.00,388000000.00,245000000.00,247000000.00,241000000.00,76387073.00,85865026.00,94643676.00,100000000.00
Estonia,EST,"Natural capital, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.TO,4070000000.00,4290000000.00,4870000000.00,5390000000.00,5400000000.00,5460000000.00,5420000000.00,5120000000.00,5090000000.00,5200000000.00,5220000000.00,5140000000.00,4870000000.00,4910000000.00,4640000000.00,4650000000.00,4580000000.00,4660000000.00,5120000000.00,5280000000.00,5250000000.00,5250000000.00,5330000000.00,5270000000.00
Estonia,EST,"Natural capital, forests: timber (constant 2018 US$)",NW.NCA.FTIM.TO,3490000000.00,3860000000.00,4700000000.00,5300000000.00,5770000000.00,6550000000.00,7290000000.00,7590000000.00,7920000000.00,7500000000.00,6480000000.00,5400000000.00,4480000000.00,3650000000.00,3390000000.00,3560000000.00,3850000000.00,4420000000.00,4750000000.00,5190000000.00,5410000000.00,5620000000.00,5710000000.00,5990000000.00
Estonia,EST,"Natural capital, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.TO,86083431.00,52756229.00,59289644.00,53756520.00,64868568.00,96106284.00,97824285.00,98743257.00,137000000.00,165000000.00,200000000.00,267000000.00,429000000.00,778000000.00,1120000000.00,1620000000.00,2510000000.00,2800000000.00,2800000000.00,2820000000.00,2470000000.00,1750000000.00,1260000000.00,1010000000.00
Estonia,EST,"Natural capital, mangroves (constant 2018 US$)",NW.NCA.MANG.TO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
